,tweet,index,sentiment_test,sentiment_value,sentiment_1st,sentiment_2nd,sentiment_3rd
0,que informe cuándo van a dar la segunda dosis de sinopharm la vacuna china a los mayores de 70 y 80 cuando se sabe que no van a llegar más sinopharm por un tiempo por lo que ministerio de salud de nac dispone anticipar las 12 semanas entre dosis xa efectividad,0,Negativo,1.102559798244196e-10,Negativo,Negativo,Negativo
1,c123 el mismo lanata que dijo que la morsa era aníbal fernández después se tuvo que retractar el mismo la rata que dijo que la vacuna china tenía el 3 de inmunidad ja ja ja ja ja ja ja qué quiere que compre en faiser cuanta le pusieron a jorge la rata,1,Negativo,1.3393300536268222e-14,Negativo,Negativo,Negativo
2,orive buenos días no tienen ninguna opinión de la vacuna china sinovac desde ya gracias por su respuesta,2,Neutro,5.2817799785287755e-08,Negativo,Negativo,Negativo
3,ojala que esas vacunas sirvan para completar las 2das dosis de todos y cada uno de los que le aplicaron la vacuna china sr presidente que no quede una sola persona con 1 sola dosis porque todo esto no sirvio para nada entonces,3,Neutro,1.2908452441455498e-11,Negativo,Negativo,Negativo
7,srta la vacuna china no ha completado estudios clínicos de la fase tres y los que estaba realizando en la cayetano heredia tienen feos pronostico de efectividad 11 en una y 33 en otra esos son hechos reales,7,Negativo,7.372830707845511e-05,Negativo,Negativo,Negativo
8,señor ministro y acá cuando nos dan la segunda dosis de la vacuna china,8,Neutro,0.0020097153198040817,Negativo,Negativo,Negativo
12,negociaron ser conejillos de india para la vacuna rusa y ahora para la vacuna china que no tiene los controles mínimos que no se sabe a ciencia cierta la efectividad porque no siquiera se sabe cuántas dosis son necesarias maditos gobernantes,12,Negativo,2.657880063075057e-13,Negativo,Negativo,Negativo
14,falso la de los eua no autoriza la vacuna china por seguridad nacional la de ha matado mucha gente de trombosis informese bien antes de escribir,14,Negativo,3.501419083126033e-05,Negativo,Negativo,Negativo
18,como es posible que hayan aceptado una vacuna china y con efectividad del 68 y como locos están haciendo filas interminables con tal de vacunarse,18,Negativo,0.004348327645722243,Negativo,Negativo,Negativo
19,ah y falta la frutilla del postre la vacuna china q compramos no sirve para nada ahora si cartón lleno,19,Negativo,2.698040871186751e-06,Negativo,Negativo,Negativo
27,no creo que sean estupidos creo que lo hacen aproposito vizcarra lo hizo por su coima de vacuna china sagasti si es medio inepto y le gana la ideologia pero los de castillo son radicales asesinos seguro indulta a abimael y a ellos no les importa la gente de hecho te matan,27,Negativo,7.416600619506563e-13,Negativo,Negativo,Negativo
29,podrías decirme si fue con la vacuna china o la sputnik,29,Neutro,0.17413056084018366,Negativo,Neutro,Neutro
39,mi madre es enfermera le dieron la vacuna china ahora esta con covid esta basura le ponen la mejor vacuna mundo de mierda y gobierno de la mismirirsima mierda,39,Negativo,3.6935190913348103e-06,Negativo,Negativo,Negativo
44,menos eficiencia ha bajado la tasa de hospitalización y mortalidad de los médicos vacunados no repita lo que dice willax y compañía la vacuna china salva vidas para eso fue creada,44,Positivo,4.6255303581131354e-05,Negativo,Negativo,Negativo
57,cuanto nos cuesta este circo la realidad es que la vacuna china no produce anticuerpos cuando eso se sepa adónde se van a meter,57,Negativo,6.338062524331059e-06,Negativo,Negativo,Negativo
62,10 millones de dosis 900 vacunados con las 2 dosis que hacen con las vacunas las coleccionan encima necesitan 90 millones para los 45 no se que festeja y encima esta vacuna china que debe darse a los 28 dias o sea y si no desaparecen dosis tiene para 5 millones,62,Negativo,4.296068914158211e-07,Negativo,Negativo,Negativo
70,mi marido es médico y aún no recibió su segunda dosis de la vacuna china en provincia vergüenza total,70,Neutro,3.0700334510244144e-05,Negativo,Negativo,Negativo
76,es verdad que hc va a viajar a china para negociar 4 millones de dosis de la vacuna china,76,Neutro,0.08853807803415568,Negativo,Neutro,Neutro
79,la vacuna china me dejo de cama manejame este cansancioooooooo,79,Neutro,0.46897437398685615,Neutro,Positivo,Positivo
82,peru el doctor bustamante es phd johns hopkins university school of medicine y el principal impulsor del necesario uso de las pruebas moleculares dio la evidencia para descubrir que vacuna china sólo tenía efectividad de 11 y 33 evidenciado su mala calidad,82,Negativo,1.657640189845785e-05,Negativo,Negativo,Negativo
91,pone a la payasa filomena reverendo hija de puta haciendo circo por las vacunas delincuente usd 60 millones por esa vacuna china que solo sirve para segunda dosis inútil poniendo publicidad del frente de bobos inmoral basura,91,Negativo,1.0851647627240606e-06,Negativo,Negativo,Negativo
94,leo a gente que escribe que mauro viale se murió por la vacuna china en serio tienen esa línea de pensamiento quién responde,94,Neutro,0.0007646633171043993,Negativo,Negativo,Negativo
97,si vos tenes la primera dosis de la vacuna rusa no te sirve la segunda dosis de la vacuna china circo elpeorgobiernodelahistoria elpeorpresidentedelahistoria,97,Negativo,0.002984978134568676,Negativo,Negativo,Negativo
452,claro si en vez de vacunar a los amiguitos y amiguitas del poder le hubieran dado prioridad a quien corresponde si en vez de traer una vacuna china de mierda hubieran traído las pfizer tantas cosas evitables,452,Negativo,7.804046790707347e-09,Negativo,Negativo,Negativo
486,llegaron 13 200 dosis de la vacuna china a mendoza vía,486,Positivo,0.6000634613349392,Positivo,Positivo,Positivo
690,vacunas las próximas dosis de la vacuna china en neuquén serán para completar esquemas leé más,690,Neutro,0.2874289494605369,Negativo,Neutro,Neutro
1008,llegaron al país más dosis de la vacuna china contra el covid 19 y anunciaron el desembarco de otro lote cuántas habrá para esta semana,1008,Positivo,0.0013196123245346044,Negativo,Negativo,Negativo
1018,falso ya la vacuna china tiene certificaciones europeas,1018,Positivo,0.34406748935334147,Neutro,Neutro,Positivo
1030,llegaron nuevas dosis de la vacuna china sinopharm al país,1030,Positivo,0.05827655275306665,Negativo,Negativo,Neutro
1041,sebin detiene a tiktoker tras bromear en redes sobre supuesto efecto de la vacuna china video vía,1041,Neutro,0.5988587925228872,Neutro,Positivo,Positivo
1063,expertos de la oms iniciaron reuniones para estudiar la efectividad de la vacuna china de sinopharm con vistas a aprobar su uso de emergencia indicó la directora adjunta de la agencia para acceso a medicinas y vacunas mariángela simao vía efe eltoquedediana 26abr,1063,Positivo,0.9986909770667314,Positivo,Positivo,Positivo
2146,entre el domingo y martes próximo llegarán a la argentina un millón de dosis de la vacuna china sinopharm este embarque vendrá repartido en tres vuelos una parte se usará para suministrar la segunda dosis a 500 mil docentes,2146,Positivo,0.02461024348283257,Negativo,Negativo,Negativo
2198,te ponen la vacuna china y dejas los marlboro,2198,Negativo,0.03816656088034741,Negativo,Negativo,Negativo
9650,hola quisiera que me diera su honesta opinión sobre la vacuna china acabo de leer este artículo,9650,Neutro,7.651956244609351e-05,Negativo,Negativo,Negativo
52068,aprueba la vacuna china,52068,Positivo,0.4737554465528978,Neutro,Positivo,Positivo
52198,sinovac es una vacuna china la de rusia es la de sputnik v que es de las más eficaces con el 92,52198,Positivo,0.004865902025274049,Negativo,Negativo,Negativo
52434,anmat comenzó a analizar la vacuna china de sinopharm,52434,Positivo,0.437369725752128,Neutro,Positivo,Positivo
53418,los medios le siguen diciendo la vacuna china es necesaria una estrategia comunicacional del gobierno y el minsal,53418,Neutro,0.014887835822771815,Negativo,Negativo,Negativo
54313,es cierto que la vacuna china está prohibida en rusia,54313,Neutro,0.07932255163553507,Negativo,Neutro,Neutro
54360,el húngaro ha comprado vacuna china y rusa para tener stock luego van a venir los palmeros del libre mercado a decir que si eso ataca a la democracia y la libertad porque no compran sólo en su abrevadero,54360,Neutro,6.157360997622299e-08,Negativo,Negativo,Negativo
54455,geriátricos docentes y la vacuna china kicillof explicó cómo continuará el programa de vacunación en territorio bonaerense,54455,Neutro,0.22475375038727416,Negativo,Neutro,Neutro
82213,bolsonaro cancela acuerdo para comprar vacuna china contra covid 19,82213,Neutro,0.07027846361177738,Negativo,Neutro,Neutro
205207,tu dato es erróneo usa se retiró de la oms durante el gobierno de trump la vacuna rusa no tiene estudios fase 3 no es viable si tú te arriesgas a ponertela sin saber que efectos tendrá adelante al parecer no es nada confiable,205207,Negativo,2.8245884165680066e-07,Negativo,Negativo,Negativo
205358,la vacuna rusa yo no me la pondría aunque fuera agua no confío en los rusos,205358,Negativo,0.0002664431008051424,Negativo,Negativo,Negativo
205363,buen día qué se sabe de la vacuna rusa gracias,205363,Neutro,0.04545085187329492,Negativo,Negativo,Negativo
205372,los q militaron en contra de la vacuna rusa hoy se preocupan porque llegan menos dosis ojalá hubieran tenido la misma preocupación cuando una secretaria de salud dejo vencer vacunas y hubo un rebrote de sarampión tan anti q molesta,205372,Negativo,2.057162561710998e-06,Negativo,Negativo,Negativo
205390,merkel ofrece apoyo a moscú para entrada de vacuna rusa sputnik v a ue,205390,Neutro,0.5562037614687425,Neutro,Positivo,Positivo
205397,es la vacuna rusa un típico caso de compras de pánico esta o no aprobada es eficaz para prevenir contagios urgen respuestas con la salud no se juega,205397,Negativo,0.007907877208039303,Negativo,Negativo,Negativo
205405,algunos lamentamos q se gaste dinero de todos en exceso y se trate de crear épica con un vuelo normal lamentamos q al dia de hoy no hay respaldo cientifico de la vacuna rusa lamentamos el periosobrismo simplemente se contrata un carguero aereo y que haga su trabajo,205405,Negativo,1.717143154666382e-13,Negativo,Negativo,Negativo
205409,la entrega de vacuna rusa es inestable dijeron los k asi que calcula para el 2030 con suerte y viento a favor vienen las vacunas si no se pincha las gomas del avion,205409,Negativo,9.562613516497032e-07,Negativo,Negativo,Negativo
